timestamp_ms,ax,ay,az,gx,gy,gz
0,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
10,0.0100,0.0200,1.0000,0.1000,0.2000,0.3000
20,0.0200,0.0400,1.0000,0.2000,0.4000,0.6000
30,0.0300,0.0600,1.0000,0.3000,0.6000,0.9000
40,0.0400,0.0800,1.0000,0.4000,0.8000,1.2000
50,0.0500,0.1000,1.0000,0.5000,1.0000,1.5000
60,0.0600,0.1200,1.0000,0.6000,1.2000,1.8000
70,0.0700,0.1400,1.0000,0.7000,1.4000,2.1000
80,0.0800,0.1600,1.0000,0.8000,1.6000,2.4000
90,0.0900,0.1800,1.0000,0.9000,1.8000,2.7000
100,0.1000,0.2000,1.0000,1.0000,2.0000,3.0000
110,0.1100,0.2200,1.0000,1.1000,2.2000,3.3000
120,0.1200,0.2400,1.0000,1.2000,2.4000,3.6000
130,0.1300,0.2600,1.0000,1.3000,2.6000,3.9000
140,0.1400,0.2800,1.0000,1.4000,2.8000,4.2000
150,0.1500,0.3000,1.0000,1.5000,3.0000,4.5000
160,0.1600,0.3200,1.0000,1.6000,3.2000,4.8000
170,0.1700,0.3400,1.0000,1.7000,3.4000,5.1000
180,0.1800,0.3600,1.0000,1.8000,3.6000,5.4000
190,0.1900,0.3800,1.0000,1.9000,3.8000,5.7000
200,0.2000,0.4000,1.0000,2.0000,4.0000,6.0000
210,0.2100,0.4200,1.0000,2.1000,4.2000,6.3000
220,0.2200,0.4400,1.0000,2.2000,4.4000,6.6000
230,0.2300,0.4600,1.0000,2.3000,4.6000,6.9000
240,0.2400,0.4800,1.0000,2.4000,4.8000,7.2000
250,0.2500,0.5000,1.0000,2.5000,5.0000,7.5000
260,0.2600,0.5200,1.0000,2.6000,5.2000,7.8000
270,0.2700,0.5400,1.0000,2.7000,5.4000,8.1000
280,0.2800,0.5600,1.0000,2.8000,5.6000,8.4000
290,0.2900,0.5800,1.0000,2.9000,5.8000,8.7000
300,0.3000,0.6000,1.0000,3.0000,6.0000,9.0000
310,0.3100,0.6200,1.0000,3.1000,6.2000,9.3000
320,0.3200,0.6400,1.0000,3.2000,6.4000,9.6000
